alpha f_obj ILD Precision Recall F1_mesure MAP rmsde algo r2
0.5 classic 0.7675 0.0732 0.0476 0.0577 0.1605 0.1853 TopPopular 0.052761
0.6 classic 0.7874 0.0697 0.0453 0.0549 0.1562 0.2042 TopPopular 0.062441
0.7 classic 0.8012 0.064 0.0418 0.0506 0.1493 0.2172 TopPopular 0.045659
0.8 classic 0.8177 0.0574 0.0365 0.0446 0.145 0.2331 TopPopular 0.071266
0.9 classic 0.8242 0.052 0.0326 0.0401 0.1423 0.2395 TopPopular 0.086460
1 classic 0.8252 0.0484 0.0289 0.0362 0.14 0.2405 TopPopular 0.084338

0 personalized 0.5144 0.0887 0.0625 0.0733 0.186 0.1045 KGE 0.048515
0.1 personalized 0.5233 0.089 0.063 0.0738 0.1859 0.0939 KGE 0.080950
0.2 personalized 0.5327 0.0894 0.0635 0.0743 0.1865 0.0829 KGE 0.125122
0.3 personalized 0.5438 0.0892 0.0635 0.0742 0.1867 0.0699 KGE 0.202400
0.4 personalized 0.5549 0.0885 0.0625 0.0733 0.1868 0.0565 KGE 0.313104
0.5 personalized 0.5661 0.0881 0.0627 0.0733 0.1845 0.0411 KGE 0.500879
0.6 personalized 0.5754 0.0876 0.0624 0.0729 0.1838 0.0272 KGE 0.717013
0.7 personalized 0.5818 0.0854 0.0611 0.0712 0.1824 0.0166 KGE 0.873479
0.8 personalized 0.5854 0.083 0.0586 0.0687 0.1803 0.0099 KGE 0.951130
0.9 personalized 0.5884 0.0768 0.0534 0.063 0.177 0.0043 KGE 0.989758
1 personalized 0.5901 0.055 0.0357 0.0433 0.1603 0.0008 KGE 0.999567

0 classic 0.5144 0.0887 0.0625 0.0733 0.186 0.1045 KGE 0.048515
0.1 classic 0.5284 0.0889 0.0628 0.0736 0.186 0.0962 KGE 0.055339
0.2 classic 0.5443 0.0893 0.0634 0.0742 0.1861 0.0883 KGE 0.059412
0.3 classic 0.5642 0.089 0.0632 0.0739 0.1867 0.0809 KGE 0.067201
0.4 classic 0.5885 0.0885 0.0626 0.0733 0.186 0.0774 KGE 0.069000
0.5 classic 0.6201 0.0879 0.0622 0.0728 0.1831 0.0818 KGE 0.069497
0.6 classic 0.6607 0.0859 0.0597 0.0704 0.1814 0.1003 KGE 0.068942
0.7 classic 0.71 0.083 0.0575 0.0679 0.1775 0.136 KGE 0.053010
0.8 classic 0.7548 0.0775 0.0524 0.0625 0.1735 0.1742 KGE 0.052392
0.9 classic 0.7923 0.0703 0.046 0.0556 0.1672 0.2084 KGE 0.051419
1 classic 0.8096 0.0576 0.0369 0.045 0.1613 0.2244 KGE 0.069834

0 personalized 0.5417 0.0857 0.0821 0.0839 0.1956 0.083 DNN 0.102971
0.1 personalized 0.5445 0.0857 0.0825 0.0841 0.1957 0.0788 DNN 0.122609
